epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1177,0.73497,8.80703,1.00456,0.08446,0.26442,0.23352,0.2296,0.49415,7.12787,0.77477,0.0757,0.0027,0.0027
2,44.165,0.48255,4.58953,0.88016,0.91927,0.12279,0.34429,0.3127,0.43085,6.20021,0.75741,0.0502822,0.0052822,0.0052822
3,65.0424,0.49636,3.53175,0.88096,0.95031,0.30769,0.57292,0.51229,0.49725,4.31974,0.80336,0.0246426,0.00764264,0.00764264
4,81.8898,0.55187,3.07412,0.87667,0.84168,0.69231,0.7825,0.6977,0.55782,2.92944,0.84199,0.008812,0.008812,0.008812
5,102.893,0.49337,2.74234,0.87225,0.89369,0.69231,0.80365,0.70433,0.48718,2.65449,0.8095,0.008416,0.008416,0.008416
6,122.962,0.47084,2.52303,0.86866,0.77006,0.80581,0.89816,0.82662,0.46014,1.93823,0.86977,0.00802,0.00802,0.00802
7,144.353,0.4566,2.26731,0.86281,0.94338,0.84615,0.91623,0.82385,0.4008,1.74557,0.91849,0.007624,0.007624,0.007624
8,165.375,0.41581,2.0671,0.85215,0.9814,0.92077,0.95145,0.88102,0.40235,1.14985,0.83868,0.007228,0.007228,0.007228
9,185.72,0.42055,1.95485,0.85385,0.8842,0.98517,0.95673,0.89145,0.38851,1.37952,0.85093,0.006832,0.006832,0.006832
10,202.408,0.39877,1.86272,0.86329,0.90737,0.9803,0.99437,0.91939,0.33722,0.95837,0.86243,0.006436,0.006436,0.006436
11,218.259,0.38188,1.75265,0.85619,0.97738,0.99295,0.995,0.90239,0.38183,1.1146,0.93237,0.00604,0.00604,0.00604
12,234.612,0.38266,1.63119,0.84606,0.95981,0.98387,0.995,0.89912,0.37188,0.94439,0.92072,0.005644,0.005644,0.005644
13,250.722,0.3675,1.5118,0.84294,0.98293,0.9866,0.995,0.9387,0.34022,0.78063,0.91623,0.005248,0.005248,0.005248
14,267.007,0.34226,1.40369,0.83815,0.98994,0.9886,0.995,0.96186,0.24339,0.71869,0.91979,0.004852,0.004852,0.004852
15,282.667,0.32131,1.33652,0.83301,0.96816,1,0.995,0.93371,0.29066,0.72315,0.88488,0.004456,0.004456,0.004456
16,297.311,0.35533,1.91598,0.82882,0.95043,0.99703,0.995,0.94409,0.28679,0.76134,0.91235,0.00406,0.00406,0.00406
17,311.491,0.32927,1.72274,0.83308,0.99087,1,0.995,0.96582,0.26899,0.65615,0.91003,0.003664,0.003664,0.003664
18,326.228,0.32228,1.57394,0.83293,0.97699,1,0.995,0.98431,0.23039,0.60705,0.91845,0.003268,0.003268,0.003268
19,340.522,0.31081,1.48188,0.82057,0.99242,1,0.995,0.97029,0.22954,0.56478,0.91468,0.002872,0.002872,0.002872
20,354.702,0.28978,1.38532,0.81416,0.98481,0.99894,0.995,0.98093,0.20766,0.53608,0.91571,0.002476,0.002476,0.002476
21,368.85,0.26424,1.27545,0.81102,0.98847,1,0.995,0.97979,0.20936,0.58946,0.91413,0.00208,0.00208,0.00208
22,383.126,0.24551,1.25515,0.82073,0.99334,1,0.995,0.98735,0.18604,0.49139,0.91136,0.001684,0.001684,0.001684
23,397.974,0.23024,1.1917,0.80591,0.9938,1,0.995,0.98735,0.1818,0.50803,0.90915,0.001288,0.001288,0.001288
24,412.531,0.21322,1.14351,0.79463,0.99191,1,0.995,0.995,0.16649,0.4744,0.90632,0.000892,0.000892,0.000892
25,426.853,0.20255,1.10336,0.81104,0.9931,1,0.995,0.98791,0.14836,0.43604,0.90269,0.000496,0.000496,0.000496
